bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
A Ashish Reddy,17,215,315,15,68,78,35.83,21.0,8.79,14.33,36.28,24.0,15.0,0.0,20.0,9.0,8.34,6.0,8.88,55,30,1,11.0
A Badoni,5,25,37,2,5,6,4.17,18.5,8.88,12.5,24.0,1.0,2.0,0.0,0.0,2.0,9.25,0.0,0.0,37,25,2,8.879999999999999
A Chandila,10,198,209,7,87,89,33.0,29.86,6.33,28.29,44.95,12.0,10.0,6.0,5.63,1.0,7.38,0.0,6.0,40,30,1,8.0
A Choudhary,4,94,123,5,37,42,15.67,24.6,7.85,18.8,44.68,11.0,5.0,3.0,7.46,1.0,7.4,1.0,8.89,31,30,2,6.200000000000001
A Dananjaya,1,25,47,0,6,7,4.17,47.0,11.28,25.0,28.0,2.0,4.0,0.0,12.0,0.0,11.05,0.0,0.0,47,25,0,11.28
A Flintoff,3,66,106,2,20,21,11.0,53.0,9.64,33.0,31.82,7.0,7.0,0.0,10.5,1.0,5.5,1.0,17.33,57,30,0,11.399999999999999
A Kamboj,3,68,115,2,19,27,11.33,57.5,10.15,34.0,39.71,10.0,6.0,1.0,10.94,1.0,9.35,0.0,0.0,58,30,0,11.6
A Kumble,42,983,1089,49,374,410,163.83,22.22,6.65,20.06,41.71,72.0,35.0,3.0,4.95,31.0,6.7,15.0,7.93,34,30,4,6.8
A Mishra,147,3153,3871,166,1084,1172,525.5,23.32,7.37,18.99,37.17,219.0,172.0,6.0,7.23,134.0,7.14,26.0,9.69,53,30,2,10.6
A Mithun,13,261,409,6,76,96,43.5,68.17,9.4,43.5,36.78,38.0,18.0,1.0,8.38,2.0,8.66,3.0,11.32,53,30,1,10.6
A Nehra,69,1556,1990,100,645,717,259.33,19.9,7.67,15.56,46.08,222.0,59.0,42.0,7.32,14.0,7.93,44.0,8.46,49,30,4,9.8
A Nel,1,18,31,1,7,7,3.0,31.0,10.33,18.0,38.89,3.0,2.0,1.0,12.0,0.0,11.0,0.0,8.0,31,18,1,10.333333333333334
A Nortje,46,1097,1614,62,401,465,182.83,26.03,8.83,17.69,42.39,151.0,73.0,22.0,8.17,17.0,8.47,23.0,9.95,57,30,1,11.399999999999999
A Singh,21,443,580,30,176,197,73.83,19.33,7.86,14.77,44.47,59.0,17.0,13.0,6.57,1.0,6.98,16.0,10.55,57,30,2,11.399999999999999
A Symonds,29,534,687,23,186,215,89.0,29.87,7.72,23.22,40.26,44.0,32.0,5.0,5.59,12.0,7.86,6.0,11.35,44,30,1,8.799999999999999
A Uniyal,2,38,67,3,8,11,6.33,22.33,10.58,12.67,28.95,6.0,3.0,1.0,10.15,0.0,18.0,2.0,8.53,58,30,2,11.6
A Zampa,9,200,281,11,59,62,33.33,25.55,8.43,18.18,31.0,18.0,14.0,3.0,6.5,7.0,7.76,1.0,15.25,29,30,3,5.8
AA Chavan,11,236,303,8,94,107,39.33,37.88,7.7,29.5,45.34,27.0,13.0,3.0,6.35,4.0,8.93,1.0,16.5,45,30,1,9.0
AA Jhunjhunwala,8,75,108,1,26,29,12.5,108.0,8.64,75.0,38.67,9.0,4.0,0.0,8.81,1.0,8.43,0.0,12.0,37,30,1,7.4
AA Kazi,1,13,21,1,2,3,2.17,21.0,9.69,13.0,23.08,1.0,1.0,0.0,0.0,1.0,9.69,0.0,0.0,21,13,1,9.692307692307693
AA Noffke,1,25,41,1,6,8,4.17,41.0,9.84,25.0,32.0,2.0,2.0,0.0,19.71,0.0,5.5,1.0,7.0,41,25,1,9.84
AB Agarkar,40,778,1132,31,240,295,129.67,36.52,8.73,25.1,37.92,111.0,40.0,6.0,9.12,17.0,8.23,8.0,9.58,52,30,0,10.4
AB Dinda,42,849,1066,37,346,392,141.5,28.81,7.53,22.95,46.17,120.0,24.0,19.0,7.39,9.0,6.27,9.0,10.51,60,30,0,12.0
AB McDonald,10,188,263,14,50,54,31.33,18.79,8.39,13.43,28.72,20.0,11.0,3.0,8.93,7.0,7.72,4.0,10.2,33,30,2,6.6000000000000005
AC Gilchrist,1,1,0,1,1,1,0.17,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0.0
AC Voges,7,56,76,1,15,17,9.33,76.0,8.14,56.0,30.36,8.0,2.0,0.0,12.0,1.0,7.3,0.0,5.0,54,30,0,10.8
AD Mascarenhas,11,261,313,13,105,111,43.5,24.08,7.2,20.08,42.53,31.0,7.0,9.0,7.84,4.0,6.0,0.0,10.5,35,30,0,7.0
AD Mathews,25,461,655,15,124,144,76.83,43.67,8.52,30.73,31.24,63.0,20.0,5.0,9.04,6.0,8.41,4.0,8.49,56,30,0,11.2
AD Russell,109,1728,2642,123,564,662,288.0,21.48,9.17,14.05,38.31,247.0,117.0,21.0,8.41,49.0,8.68,53.0,10.74,51,30,4,10.2
AF Milne,7,140,227,5,45,54,23.33,45.4,9.73,28.0,38.57,23.0,10.0,3.0,9.87,2.0,7.81,0.0,13.14,46,30,1,9.200000000000001
AG Murtaza,6,146,160,7,57,62,24.33,22.86,6.58,20.86,42.47,9.0,6.0,2.0,3.86,5.0,7.55,0.0,9.43,27,30,0,5.4
AJ Finch,2,20,18,0,8,9,3.33,18.0,5.4,20.0,45.0,1.0,0.0,0.0,0.0,0.0,5.37,0.0,6.0,18,20,0,5.4
AJ Hosein,1,24,41,1,5,6,4.0,41.0,10.25,24.0,25.0,4.0,2.0,0.0,10.33,1.0,10.0,0.0,0.0,41,24,1,10.25
